Pasta,batch_size,num_epochs
inceptionv3_larvae,8,5
inceptionv3_cevada,8,5
inceptionv3_mammoset,8,5
inceptionv3_larvae_augmentation,,
inceptionv3_cevada_augmentation,,
inceptionv3_mammoset_augmentation,,
resnetv2_cevada,8,5
resnetv2_cevada_augmentation,,
resnetv2_cevada_param_Alto,10,8
resnetv2_cevada_param_baixo,3,3
resnetv2_larvae,8,5
resnetv2_larvae_augmentation,,
nasnet_cevada,8,5
nasnet_cevada_augmentation,,
nasnet_cevada_param_alto,10,8
nasnet_cevada_param_Baixo,3,3
nasnet_larvae,3,5
nasnet_larvae_augmentation,,
inceptionv3_larvae_param_Alto,10,8
inceptionv3_cevada_param_Alto,8,10
inceptionv3_mammoset_param_Alto,10,8
resnetv2_larvae_param_baixo,3,3
resnetv2_larvae_param_Alto,8,10
resnetv2_mammoset,3,5
resnetv2_mammoset_augmentation,,
resnetv2_mammoset_param_Alto,3,8
resnetv2_mammoset_param_Baixo,3,4
nasnet_larvae_param_Alto,10,8
nasnet_larvae_param_Baixo,3,3
nasnet_mammoset,8,5
nasnet_mammoset_augmentation,,
nasnet_mammoset_param_Baixo,4,3
nasnet_mammoset_param_Alto,10,8
inceptionv3_cevada_param_Baixo,3,3
inceptionv3_larvae_param_Baixo,3,3
inceptionv3_mammoset_param_Baixo,4,3
