Pasta;Epoch;Tipo;precision;recall;f1_score;support
inceptionv3_larvae;1;Class 0;0.5454545454545454;0.35363636363636364;0.41181818181818186;59.0
inceptionv3_larvae;1;Class 1;0.8737499999999999;1.0;0.9260000000000002;261.0
inceptionv3_larvae;1;Micro Avg;0.88325;0.88325;0.88325;320.0
inceptionv3_larvae;1;Macro Avg;0.7502500000000001;0.7329999999999999;0.7202499999999997;320.0
inceptionv3_larvae;1;weighted avg ;0.8450000000000001;0.88325;0.8462500000000001;320.0
inceptionv3_larvae;2;Class 0;0.5396825396825397;0.3531746031746032;0.4103174603174605;112.0
inceptionv3_larvae;2;Class 1;0.8783544303797468;1.0;0.9288607594936712;520.0
inceptionv3_larvae;2;Micro Avg;0.8863291139240508;0.8863291139240508;0.8863291139240508;632.0
inceptionv3_larvae;2;Macro Avg;0.7564556962025316;0.7418987341772151;0.7291139240506327;632.0
inceptionv3_larvae;2;weighted avg ;0.8444303797468359;0.8863291139240508;0.8491139240506329;632.0
inceptionv3_larvae;3;Class 0;0.5204081632653061;0.34091836734693876;0.3967346938775513;171.0
inceptionv3_larvae;3;Class 1;0.8748305084745757;1.0;0.9271186440677975;773.0
inceptionv3_larvae;3;Micro Avg;0.883389830508474;0.883389830508474;0.883389830508474;944.0
inceptionv3_larvae;3;Macro Avg;0.7390677966101693;0.7262711864406779;0.7131355932203393;944.0
inceptionv3_larvae;3;weighted avg ;0.8376271186440677;0.883389830508474;0.84457627118644;944.0
inceptionv3_larvae;4;Class 0;0.5114503816793893;0.3440458015267175;0.39618320610687047;223.0
inceptionv3_larvae;4;Class 1;0.8777070063694259;1.0;0.9289808917197466;1033.0
inceptionv3_larvae;4;Micro Avg;0.8857961783439481;0.8857961783439481;0.8857961783439481;1256.0
inceptionv3_larvae;4;Macro Avg;0.7358598726114647;0.7263694267515923;0.7128662420382172;1256.0
inceptionv3_larvae;4;weighted avg ;0.8381528662420381;0.8857961783439481;0.8469426751592344;1256.0
inceptionv3_larvae;5;Class 0;0.54375;0.3680624999999999;0.4224375000000003;274.0
inceptionv3_larvae;5;Class 1;0.8814358974358971;1.0;0.9309230769230782;1286.0
inceptionv3_larvae;5;Micro Avg;0.8897948717948707;0.8897948717948707;0.8897948717948707;1560.0
inceptionv3_larvae;5;Macro Avg;0.7543076923076925;0.7408717948717946;0.7288205128205133;1560.0
inceptionv3_larvae;5;weighted avg ;0.8473846153846152;0.8897948717948707;0.8533846153846146;1560.0
inceptionv3_cevada;1;Class 0;0.83;1.00;0.91;10
inceptionv3_cevada;1;Class 1;1.00;0.62;0.77;6.0
inceptionv3_cevada;1;Micro Avg;0.88;0.88;0.88;16
inceptionv3_cevada;1;Macro Avg;0.92;0.81;0.83;16
inceptionv3_cevada;1;weighted avg ;0.90;0.88;0.86;16
inceptionv3_cevada;2;Class 0;0.61;1.00;0.73;15
inceptionv3_cevada;2;Class 1;1.00;0.45;0.59;17
inceptionv3_cevada;2;Micro Avg;0.69;0.69;0.69;32
inceptionv3_cevada;2;Macro Avg;0.80;0.72;0.66;32
inceptionv3_cevada;2;weighted avg ;0.85;0.69;0.67;32
inceptionv3_cevada;3;Class 0;0.62;1.00;0.75;24
inceptionv3_cevada;3;Class 1;1.00;0.39;0.54;24
inceptionv3_cevada;3;Micro Avg;0.69;0.69;0.69;48
inceptionv3_cevada;3;Macro Avg;0.81;0.70;0.64;48
inceptionv3_cevada;3;weighted avg ;0.84;0.69;0.66;48
inceptionv3_cevada;4;Class 0;0.64;1.00;0.76;33
inceptionv3_cevada;4;Class 1;1.00;0.41;0.56;31
inceptionv3_cevada;4;Micro Avg;0.70;0.70;0.70;64
inceptionv3_cevada;4;Macro Avg;0.82;0.70;0.66;64
inceptionv3_cevada;4;weighted avg ;0.84;0.70;0.67;64
inceptionv3_cevada;5;Class 0;0.65;1.00;0.77;39
inceptionv3_cevada;5;Class 1;0.89;0.36;0.50;33
inceptionv3_cevada;5;Micro Avg;0.71;0.71;0.71;72
inceptionv3_cevada;5;Macro Avg;0.77;0.68;0.63;72
inceptionv3_cevada;5;weighted avg ;0.81;0.71;0.67;72
inceptionv3_mammoset;1;Class 0;0.19;0.11;0.13;121
inceptionv3_mammoset;1;Class 1;0.29;0.37;0.30;88
inceptionv3_mammoset;1;Class 2;0.18;0.08;0.11;125
inceptionv3_mammoset;1;Class 3;0.30;0.67;0.39;130
inceptionv3_mammoset;1;Micro Avg;0.33;0.33;0.33;464
inceptionv3_mammoset;1;Macro Avg;0.24;0.32;0.24;464
inceptionv3_mammoset;1;weighted avg ;0.30;0.33;0.27;464
inceptionv3_mammoset;2;Class 0;0.16;0.09;0.11;243
inceptionv3_mammoset;2;Class 1;0.26;0.33;0.27;184
inceptionv3_mammoset;2;Class 2;0.18;0.08;0.11;268
inceptionv3_mammoset;2;Class 3;0.29;0.66;0.38;249
inceptionv3_mammoset;2;Micro Avg;0.32;0.32;0.32;944
inceptionv3_mammoset;2;Macro Avg;0.23;0.30;0.22;944
inceptionv3_mammoset;2;weighted avg ;0.29;0.32;0.26;944
